train/success_rate,test/mean_Q,train/episode,stats_o/mean,test/episode,test/success_rate,epoch,stats_o/std,train/mean_Q,stats_g/mean,stats_g/std
0.4,-17.292269,18300.0,0.20347549,3660.0,0.55,182,0.111523114,-20.24713,0.8415332,0.09493607
0.46,-18.34579,18400.0,0.20346555,3680.0,0.55,183,0.11167448,-17.35398,0.8415327,0.094919465
0.34,-21.392282,18500.0,0.2035055,3700.0,0.5,184,0.11187577,-20.875788,0.84152913,0.094873674
0.38,-21.483387,18600.0,0.20350389,3720.0,0.4,185,0.111974925,-21.016335,0.8415394,0.094844885
0.37,-13.59873,18700.0,0.20351647,3740.0,0.65,186,0.112116605,-21.268208,0.8415502,0.09484726
0.43,-18.189825,18800.0,0.2035138,3760.0,0.4,187,0.11225221,-19.279602,0.8415286,0.09480944
0.37,-25.948566,18900.0,0.20353955,3780.0,0.4,188,0.11230315,-22.63405,0.8415646,0.09479044
0.34,-21.140999,19000.0,0.20355324,3800.0,0.4,189,0.112322055,-24.45414,0.8415635,0.09475136
0.46,-27.894993,19100.0,0.20354712,3820.0,0.3,190,0.11244437,-18.882017,0.84156173,0.09473836
0.46,-14.553599,19200.0,0.20355271,3840.0,0.55,191,0.11250847,-20.05462,0.8415663,0.09473863
0.44,-15.304121,19300.0,0.20356247,3860.0,0.65,192,0.11257562,-21.224041,0.8415754,0.09470373
0.39,-16.494587,19400.0,0.20356357,3880.0,0.6,193,0.1126116,-20.26891,0.84156734,0.094697714
0.4,-15.269636,19500.0,0.20358826,3900.0,0.6,194,0.11278891,-20.602545,0.8416061,0.09480397
0.39,-24.623262,19600.0,0.20360294,3920.0,0.35,195,0.112894766,-19.612202,0.8416429,0.094780646
0.43,-14.9599,19700.0,0.20360638,3940.0,0.6,196,0.11313517,-20.670277,0.8416346,0.09480569
0.34,-9.951679,19800.0,0.20359784,3960.0,0.75,197,0.113206975,-20.913218,0.8416349,0.09478569
0.5,-22.277174,19900.0,0.2036207,3980.0,0.45,198,0.11330001,-17.725256,0.8416651,0.09475397
0.45,-20.00898,20000.0,0.20360696,4000.0,0.5,199,0.113313645,-19.784937,0.84166366,0.09471992
