train/mean_Q,stats_o/mean,epoch,stats_g/std,test/mean_Q,test/success_rate,stats_o/std,train/episode,stats_g/mean,train/success_rate,test/episode
-2.4033709,0.20136453,161,0.073311165,-1.0738022,1.0,0.09578839,16200.0,0.83749086,0.95,3240.0
-2.2208395,0.20136847,162,0.07323682,-2.0657923,0.95,0.095882356,16300.0,0.83749217,0.96,3260.0
-2.4059114,0.20137085,163,0.07317553,-0.92566776,1.0,0.09602832,16400.0,0.8374767,0.92,3280.0
-2.1362665,0.2013771,164,0.073116265,-1.1966937,1.0,0.09604505,16500.0,0.837498,0.96,3300.0
-2.6152713,0.20140938,165,0.07313052,-1.125942,1.0,0.096138775,16600.0,0.83752376,0.94,3320.0
-2.7353036,0.20143266,166,0.073120065,-1.5348128,0.95,0.09622735,16700.0,0.83752745,0.96,3340.0
-2.471055,0.20146981,167,0.0730721,-1.5881947,1.0,0.09631729,16800.0,0.83758765,0.98,3360.0
-2.3254595,0.20149162,168,0.07301914,-1.298977,1.0,0.09639337,16900.0,0.8375829,0.96,3380.0
-2.3686886,0.20149572,169,0.07296941,-1.151668,1.0,0.09652949,17000.0,0.83759326,0.95,3400.0
-2.9525673,0.20151159,170,0.073046274,-1.2751846,1.0,0.09671176,17100.0,0.8375778,0.9,3420.0
-2.6513338,0.20149942,171,0.07308191,-1.4785278,1.0,0.096825935,17200.0,0.837601,0.93,3440.0
-3.0740674,0.20149653,172,0.07311154,-1.007498,1.0,0.09695578,17300.0,0.83759934,0.92,3460.0
-2.9551067,0.20147221,173,0.07310185,-0.9459769,1.0,0.09707847,17400.0,0.8376064,0.91,3480.0
-2.2215154,0.20147356,174,0.073037155,-1.1142722,1.0,0.09716664,17500.0,0.83762103,0.95,3500.0
-2.621994,0.20149109,175,0.073028274,-1.151985,1.0,0.09726897,17600.0,0.8376294,0.97,3520.0
-2.459907,0.20148024,176,0.07302891,-1.0691273,1.0,0.09737968,17700.0,0.83769876,0.97,3540.0
-2.7646804,0.20145784,177,0.07300032,-2.3957765,0.95,0.09750028,17800.0,0.8377078,0.95,3560.0
-2.755675,0.20144658,178,0.07305557,-1.3909371,1.0,0.09763815,17900.0,0.8377178,0.96,3580.0
-2.67076,0.20144482,179,0.07305329,-1.1707913,1.0,0.09781217,18000.0,0.83770657,0.96,3600.0
-2.287038,0.20144035,180,0.0730396,-0.92163086,1.0,0.09784181,18100.0,0.8377021,0.98,3620.0
-2.2738662,0.2014493,181,0.072988704,-1.0881174,1.0,0.097897746,18200.0,0.83770794,0.96,3640.0
-2.2283676,0.20143738,182,0.07292356,-1.411141,1.0,0.098020285,18300.0,0.8376786,0.95,3660.0
-2.0354583,0.20140941,183,0.07287169,-0.9216337,1.0,0.0980494,18400.0,0.8377335,0.98,3680.0
-2.4358644,0.20141111,184,0.072855026,-1.2816383,1.0,0.09811579,18500.0,0.8376934,0.95,3700.0
-2.1987884,0.2014195,185,0.07279169,-1.278627,1.0,0.09819535,18600.0,0.8377144,0.94,3720.0
-2.0142512,0.20139955,186,0.072735526,-1.0140369,1.0,0.09823823,18700.0,0.8376708,0.97,3740.0
-2.0786746,0.20139892,187,0.07270367,-1.4359912,1.0,0.09828221,18800.0,0.83771104,0.96,3760.0
-2.196458,0.20140915,188,0.07265126,-1.3606315,1.0,0.098337375,18900.0,0.8377192,0.98,3780.0
-2.1845155,0.2013876,189,0.07262602,-1.2317784,1.0,0.0983653,19000.0,0.83770317,0.97,3800.0
-2.4364815,0.20139632,190,0.072621725,-2.244142,0.95,0.09846967,19100.0,0.837707,0.94,3820.0
-1.826853,0.20136833,191,0.072575085,-1.1774371,1.0,0.09849023,19200.0,0.8376824,0.96,3840.0
-2.118497,0.20135756,192,0.07252719,-1.1495035,1.0,0.09850825,19300.0,0.83767915,0.97,3860.0
-2.4522886,0.20136459,193,0.07256167,-0.98317987,1.0,0.09861474,19400.0,0.8376494,0.94,3880.0
-2.2559621,0.20137939,194,0.072504245,-1.3143208,1.0,0.09873498,19500.0,0.8376259,0.95,3900.0
-2.186102,0.20137735,195,0.07246842,-2.575516,0.95,0.098790005,19600.0,0.8376296,0.95,3920.0
-2.0716312,0.2013923,196,0.07241533,-1.1070881,1.0,0.098820165,19700.0,0.837614,0.97,3940.0
-2.5778327,0.20141941,197,0.07240296,-1.0873086,1.0,0.098859526,19800.0,0.8376031,0.97,3960.0
-2.2108047,0.20142594,198,0.0723973,-1.0228276,1.0,0.0988972,19900.0,0.837598,0.95,3980.0
-2.59707,0.2014611,199,0.07238706,-1.2034624,1.0,0.09894719,20000.0,0.83761126,0.92,4000.0
