epoch,test/mean_Q,train/success_rate,test/success_rate,stats_o/std,stats_o/mean,test/episode,stats_g/mean,train/episode,stats_g/std,train/mean_Q
176,-2.261787,0.83,0.85,0.09401754,0.20071627,3540.0,0.83579606,17700.0,0.07565581,-4.2258096
177,-1.4136163,0.86,0.95,0.09426927,0.20070438,3560.0,0.835804,17800.0,0.07562357,-3.9687154
178,-2.0394492,0.86,1.0,0.09445504,0.20072033,3580.0,0.8358368,17900.0,0.075563475,-3.5034332
179,-2.8667357,0.89,0.85,0.09462218,0.200707,3600.0,0.8358369,18000.0,0.07556274,-3.6983907
180,-1.8539712,0.88,1.0,0.09487668,0.20070088,3620.0,0.8358517,18100.0,0.07549526,-3.243178
181,-1.7206427,0.87,0.95,0.09505758,0.20074669,3640.0,0.8358752,18200.0,0.075474285,-3.548593
182,-2.0796523,0.86,1.0,0.09518705,0.20074445,3660.0,0.83586234,18300.0,0.07540228,-3.6397843
183,-1.5148921,0.89,1.0,0.09542472,0.20078823,3680.0,0.83594203,18400.0,0.07536977,-3.4846244
184,-1.959158,0.91,1.0,0.09551451,0.2007895,3700.0,0.8359156,18500.0,0.07530158,-3.0168455
185,-1.5765038,0.89,1.0,0.09561715,0.20081337,3720.0,0.8359569,18600.0,0.075271,-3.5410962
186,-1.5583534,0.92,1.0,0.09571406,0.20083748,3740.0,0.83593297,18700.0,0.07522243,-2.9327698
187,-2.1548665,0.8,1.0,0.09585694,0.20086274,3760.0,0.83598644,18800.0,0.07521092,-3.4494932
188,-2.3163419,0.89,0.95,0.09591065,0.20089942,3780.0,0.8359926,18900.0,0.07520287,-3.325474
189,-1.8904102,0.92,1.0,0.09603509,0.20090646,3800.0,0.8359802,19000.0,0.07514648,-2.825383
190,-2.0177839,0.86,0.9,0.09618806,0.20091066,3820.0,0.83598757,19100.0,0.07508821,-3.4397013
191,-1.5274317,0.93,1.0,0.09627736,0.20092155,3840.0,0.8359799,19200.0,0.07503447,-2.655998
192,-1.5095714,0.91,1.0,0.09636759,0.20092149,3860.0,0.8359974,19300.0,0.075007655,-3.1887755
193,-1.3413961,0.92,1.0,0.09643199,0.20095034,3880.0,0.83598405,19400.0,0.074953035,-2.5817995
194,-1.647123,0.91,1.0,0.096514985,0.20093456,3900.0,0.8359744,19500.0,0.07493784,-2.947101
195,-1.7259365,0.92,1.0,0.09663991,0.20094089,3920.0,0.8359838,19600.0,0.07491362,-3.1839402
196,-1.862065,0.92,1.0,0.09676347,0.20095241,3940.0,0.8359759,19700.0,0.07485367,-2.8275023
197,-1.5145302,0.88,1.0,0.09690904,0.2009717,3960.0,0.8359731,19800.0,0.07480811,-3.1714857
198,-1.6285973,0.91,1.0,0.09691783,0.20096616,3980.0,0.8359676,19900.0,0.074771084,-2.683038
199,-1.4721813,0.93,1.0,0.09710275,0.20096622,4000.0,0.8359859,20000.0,0.07474349,-3.3368957
