train/success_rate,epoch,test/mean_Q,stats_o/mean,test/success_rate,stats_g/std,stats_g/mean,train/mean_Q,test/episode,stats_o/std,train/episode
0.9,186,-1.0976117,0.20278643,1.0,0.08310198,0.8386391,-2.905329,3740.0,0.105561495,18700.0
0.93,187,-1.5262935,0.20277563,1.0,0.08306881,0.83868194,-2.425547,3760.0,0.10558032,18800.0
0.95,188,-1.6216043,0.20277989,1.0,0.08301115,0.83869267,-2.346616,3780.0,0.10554819,18900.0
0.95,189,-1.3481289,0.20276824,1.0,0.08297002,0.8386726,-2.402127,3800.0,0.10557045,19000.0
0.95,190,-1.1150177,0.20276088,1.0,0.08292644,0.8386658,-2.5109396,3820.0,0.105612494,19100.0
0.94,191,-1.3649999,0.20275012,1.0,0.082909495,0.8386374,-2.6044672,3840.0,0.10567822,19200.0
0.9,192,-1.2808254,0.20275564,1.0,0.08289756,0.8386392,-2.9097958,3860.0,0.105685875,19300.0
0.94,193,-1.1259576,0.20273268,1.0,0.08285215,0.83861357,-2.188495,3880.0,0.10569627,19400.0
0.95,194,-1.3434798,0.20272532,1.0,0.08279218,0.8386088,-2.3979225,3900.0,0.1056508,19500.0
0.94,195,-1.3227609,0.20272875,1.0,0.08278597,0.83860224,-2.4891284,3920.0,0.10571746,19600.0
0.92,196,-1.3019464,0.20272787,1.0,0.082746476,0.83858615,-2.3585715,3940.0,0.1056498,19700.0
0.98,197,-1.1573976,0.2027282,1.0,0.08268575,0.8385709,-2.6122403,3960.0,0.10567448,19800.0
0.93,198,-1.309685,0.2026932,1.0,0.08268241,0.83854055,-3.0025754,3980.0,0.10564771,19900.0
0.95,199,-1.2927395,0.20268792,1.0,0.08265235,0.8385489,-2.604685,4000.0,0.105700694,20000.0
