test/mean_Q,train/episode,stats_o/mean,train/success_rate,stats_o/std,stats_g/mean,test/episode,train/mean_Q,stats_g/std,test/success_rate,epoch
-16.547136,17100.0,0.20339665,0.35,0.11714928,0.8420267,3420.0,-15.04439,0.09978181,0.4,170
-9.265496,17200.0,0.20340897,0.5,0.1171217,0.84203243,3440.0,-13.597074,0.099728346,0.6,171
-14.849622,17300.0,0.2034214,0.51,0.11709738,0.84205407,3460.0,-11.810885,0.0996688,0.45,172
-6.3499384,17400.0,0.20341983,0.47,0.11717511,0.8420577,3480.0,-14.75614,0.09977358,0.75,173
-12.678008,17500.0,0.20338531,0.47,0.11728826,0.84202343,3500.0,-12.24371,0.09977147,0.4,174
-8.205623,17600.0,0.20339347,0.44,0.11736343,0.8420272,3520.0,-12.588021,0.09979614,0.75,175
-6.5045233,17700.0,0.203405,0.49,0.117342606,0.8420326,3540.0,-12.311926,0.09979502,0.55,176
-5.644097,17800.0,0.20339456,0.48,0.11742007,0.84199184,3560.0,-12.76729,0.09985024,0.65,177
-9.208767,17900.0,0.20337638,0.46,0.117519185,0.8420039,3580.0,-11.192676,0.099885084,0.6,178
-7.5779505,18000.0,0.20338301,0.49,0.117555484,0.8420406,3600.0,-9.361486,0.09985433,0.55,179
-4.760974,18100.0,0.20342317,0.5,0.117693596,0.84211105,3620.0,-10.451787,0.099829294,0.7,180
-11.699582,18200.0,0.20346083,0.45,0.11797836,0.84215283,3640.0,-12.444331,0.099939205,0.55,181
-5.1798487,18300.0,0.20345579,0.47,0.11811379,0.84216636,3660.0,-11.540766,0.10003942,0.7,182
-9.345033,18400.0,0.20348339,0.59,0.118130594,0.842187,3680.0,-9.219429,0.10000932,0.7,183
-8.356596,18500.0,0.20354025,0.47,0.11826778,0.842113,3700.0,-11.014508,0.10014444,0.5,184
-7.2049994,18600.0,0.20358224,0.43,0.11831222,0.84211653,3720.0,-10.389222,0.100224026,0.6,185
-4.4543715,18700.0,0.20356438,0.5,0.118473604,0.84208935,3740.0,-10.819552,0.10038931,0.85,186
